,date,open,close,high,low,volume,code
0,2018-01-02,594.559,598.409,604.719,584.449,49612.0,600519
1,2018-01-03,596.059,610.419,615.959,594.299,52019.0,600519
2,2018-01-04,615.959,631.629,638.059,613.889,72205.0,600519
3,2018-01-05,635.559,632.919,640.589,622.779,39989.0,600519
4,2018-01-08,629.579,646.689,651.059,629.579,52204.0,600519
5,2018-01-09,646.769,677.079,677.559,646.769,64591.0,600519
6,2018-01-10,679.559,680.269,683.439,668.039,47714.0,600519
7,2018-01-11,681.559,669.369,682.559,666.559,50656.0,600519
8,2018-01-12,668.329,682.979,683.359,661.579,45988.0,600519
9,2018-01-15,688.019,679.929,693.619,673.579,52473.0,600519
10,2018-01-16,675.039,667.499,683.169,662.559,65428.0,600519
11,2018-01-17,664.559,642.489,668.559,633.069,90709.0,600519
12,2018-01-18,642.489,645.299,659.559,638.649,58978.0,600519
13,2018-01-19,647.459,644.739,653.459,633.579,50925.0,600519
14,2018-01-22,646.369,668.199,668.559,646.369,67126.0,600519
15,2018-01-23,672.369,668.339,674.559,663.159,49549.0,600519
16,2018-01-24,670.999,659.019,671.019,653.159,43298.0,600519
17,2018-01-25,655.559,663.719,670.559,645.559,50040.0,600519
18,2018-01-26,661.799,671.779,671.959,658.559,43978.0,600519
19,2018-01-29,673.319,630.879,674.229,629.559,74535.0,600519
20,2018-01-30,630.559,636.639,643.329,624.579,51911.0,600519
21,2018-01-31,633.559,659.099,666.269,633.559,60402.0,600519
22,2018-02-01,661.559,652.289,661.859,647.479,50582.0,600519
23,2018-02-02,646.779,634.959,647.789,619.559,75420.0,600519
24,2018-02-05,621.779,612.789,624.519,600.159,98995.0,600519
25,2018-02-06,597.559,603.419,617.159,597.559,88168.0,600519
26,2018-02-07,614.559,577.989,618.439,576.569,88289.0,600519
27,2018-02-08,576.759,595.549,612.559,576.759,83409.0,600519
28,2018-02-09,574.559,577.989,584.449,552.559,105578.0,600519
29,2018-02-12,585.559,592.039,600.059,579.759,64179.0,600519
30,2018-02-13,599.579,606.539,609.379,599.059,53389.0,600519
31,2018-02-14,614.559,613.009,614.559,606.779,30652.0,600519
32,2018-02-22,621.859,637.009,638.559,617.799,50764.0,600519
33,2018-02-23,641.559,637.039,651.119,631.559,38158.0,600519
34,2018-02-26,641.439,638.069,646.609,627.579,43658.0,600519
35,2018-02-27,643.559,632.539,650.559,631.779,42601.0,600519
36,2018-02-28,626.559,620.179,636.859,613.559,48330.0,600519
37,2018-03-01,622.559,636.529,641.409,618.329,44794.0,600519
38,2018-03-02,632.559,630.969,638.119,624.559,25991.0,600519
39,2018-03-05,632.739,614.669,636.559,611.589,37234.0,600519
40,2018-03-06,619.559,612.819,622.159,591.689,64570.0,600519
41,2018-03-07,609.559,604.599,618.559,603.549,34595.0,600519
42,2018-03-08,608.559,617.319,618.559,602.559,35349.0,600519
43,2018-03-09,622.109,622.759,627.129,618.059,30171.0,600519
44,2018-03-12,624.109,618.509,628.479,617.329,39888.0,600519
45,2018-03-13,617.559,604.909,621.159,604.559,38577.0,600519
46,2018-03-14,604.229,621.439,622.639,601.779,37355.0,600519
47,2018-03-15,622.579,641.029,641.559,622.579,56148.0,600519
48,2018-03-16,642.159,634.409,648.539,633.439,35855.0,600519
49,2018-03-19,638.529,648.039,648.549,633.559,38666.0,600519
50,2018-03-20,644.559,642.289,646.559,634.559,28877.0,600519
51,2018-03-21,644.669,636.559,647.669,634.559,26742.0,600519
52,2018-03-22,638.559,620.639,642.559,618.569,37486.0,600519
53,2018-03-23,595.559,605.619,618.049,594.639,52546.0,600519
54,2018-03-26,602.559,608.049,609.619,596.439,46256.0,600519
55,2018-03-27,617.559,609.299,620.439,598.559,47548.0,600519
56,2018-03-28,594.529,576.609,597.559,563.559,113539.0,600519
57,2018-03-29,576.759,583.659,592.409,552.969,79081.0,600519
58,2018-03-30,580.559,578.179,588.059,574.439,36540.0,600519
59,2018-04-02,574.559,574.619,585.559,568.669,32039.0,600519
60,2018-04-03,572.559,572.469,581.559,569.949,40235.0,600519
61,2018-04-04,576.559,588.569,594.989,574.939,56891.0,600519
62,2018-04-09,591.659,592.859,599.989,584.709,30833.0,600519
63,2018-04-10,599.359,602.579,603.059,593.019,32043.0,600519
64,2018-04-11,604.559,599.919,609.339,597.579,25723.0,600519
65,2018-04-12,598.559,588.759,601.439,586.779,30713.0,600519
66,2018-04-13,593.059,581.419,595.559,579.639,27549.0,600519
67,2018-04-16,575.139,575.939,581.409,571.559,32939.0,600519
68,2018-04-17,579.559,560.759,579.939,560.159,35172.0,600519
69,2018-04-18,565.559,550.199,565.559,539.559,62616.0,600519
70,2018-04-19,554.409,574.519,574.559,551.219,44207.0,600519
71,2018-04-20,575.559,564.819,588.559,562.789,41511.0,600519
72,2018-04-23,560.569,568.569,574.889,560.569,32659.0,600519
73,2018-04-24,570.559,584.439,588.059,569.559,47282.0,600519
74,2018-04-25,583.559,585.529,586.559,577.579,25252.0,600519
75,2018-04-26,586.559,572.789,586.839,567.559,35047.0,600519
76,2018-04-27,579.809,557.089,582.919,549.559,57915.0,600519
77,2018-05-02,554.559,562.389,563.549,539.619,70259.0,600519
78,2018-05-03,560.559,565.439,568.239,552.559,36326.0,600519
79,2018-05-04,565.539,557.429,569.389,555.129,37375.0,600519
80,2018-05-07,554.509,592.729,596.439,552.329,85591.0,600519
81,2018-05-08,592.589,603.389,606.689,592.589,62497.0,600519
82,2018-05-09,603.639,596.509,606.859,591.679,32331.0,600519
83,2018-05-10,598.059,608.749,610.559,598.059,39293.0,600519
84,2018-05-11,613.249,612.579,625.059,610.259,39141.0,600519
85,2018-05-14,618.559,636.969,637.559,618.559,51014.0,600519
86,2018-05-15,640.559,637.619,640.999,628.559,38055.0,600519
87,2018-05-16,634.559,629.079,640.219,627.839,30795.0,600519
88,2018-05-17,629.679,621.939,632.059,618.559,28517.0,600519
89,2018-05-18,618.549,633.879,635.559,615.749,29255.0,600519
90,2018-05-21,638.559,629.379,641.859,627.039,29059.0,600519
91,2018-05-22,629.779,634.129,634.399,624.579,16998.0,600519
92,2018-05-23,634.559,618.339,634.559,618.139,28268.0,600519
93,2018-05-24,614.559,609.959,623.219,607.559,30416.0,600519
94,2018-05-25,606.559,611.419,621.559,606.559,26511.0,600519
95,2018-05-28,612.559,634.959,635.219,609.679,42805.0,600519
96,2018-05-29,633.359,625.989,644.559,625.839,40820.0,600519
97,2018-05-30,621.779,620.429,631.859,614.609,37147.0,600519
98,2018-05-31,624.809,645.689,646.179,624.799,71852.0,600519
99,2018-06-01,645.689,639.669,649.539,633.319,36177.0,600519
100,2018-06-04,646.909,676.529,677.459,640.439,73805.0,600519
101,2018-06-05,681.059,682.609,689.259,671.789,52629.0,600519
102,2018-06-06,682.559,680.309,695.509,676.859,48969.0,600519
103,2018-06-07,684.539,675.529,690.109,673.459,39167.0,600519
104,2018-06-08,674.559,672.509,680.459,664.559,34958.0,600519
105,2018-06-11,670.609,670.289,680.559,662.889,36547.0,600519
106,2018-06-12,672.559,693.749,698.059,671.059,55287.0,600519
107,2018-06-13,694.559,684.889,697.179,683.439,35244.0,600519
108,2018-06-14,684.559,680.689,688.359,669.739,36159.0,600519
109,2018-06-15,678.758,678.888,684.138,674.658,31707.0,600519
110,2018-06-19,674.558,643.558,674.558,642.558,60195.0,600519
111,2018-06-20,646.558,669.148,670.558,646.558,45838.0,600519
112,2018-06-21,670.778,664.878,684.448,664.328,39182.0,600519
113,2018-06-22,659.558,672.088,672.558,655.558,28854.0,600519
114,2018-06-25,671.558,671.118,684.528,670.458,32934.0,600519
115,2018-06-26,670.868,660.358,675.438,652.558,46577.0,600519
116,2018-06-27,657.558,627.998,662.558,626.558,57298.0,600519
117,2018-06-28,619.558,616.488,624.558,602.558,50833.0,600519
118,2018-06-29,617.858,637.018,637.858,610.558,32929.0,600519
119,2018-07-02,640.078,617.108,644.888,608.558,37558.0,600519
120,2018-07-03,615.318,600.478,621.338,583.788,82837.0,600519
121,2018-07-04,597.558,596.468,605.558,593.558,37990.0,600519
122,2018-07-05,605.558,607.948,621.758,605.558,47123.0,600519
123,2018-07-06,612.558,619.678,626.488,604.818,44156.0,600519
124,2018-07-09,625.588,632.798,635.418,625.288,40572.0,600519
125,2018-07-10,634.558,631.318,637.058,618.888,29010.0,600519
126,2018-07-11,615.558,625.138,629.558,607.778,24278.0,600519
127,2018-07-12,623.558,643.098,646.728,623.558,40170.0,600519
128,2018-07-13,647.858,652.548,653.658,640.678,28907.0,600519
129,2018-07-16,657.858,660.238,669.668,656.588,32474.0,600519
130,2018-07-17,662.558,647.988,662.558,641.578,27806.0,600519
131,2018-07-18,647.988,642.998,655.248,640.558,24521.0,600519
132,2018-07-19,644.558,646.508,649.508,640.578,18078.0,600519
133,2018-07-20,647.058,646.688,648.688,633.558,30548.0,600519
134,2018-07-23,641.558,637.628,646.708,625.568,35969.0,600519
135,2018-07-24,638.238,650.958,652.858,628.558,41808.0,600519
136,2018-07-25,652.508,649.368,655.438,645.568,21743.0,600519
137,2018-07-26,654.458,641.178,654.458,639.788,23067.0,600519
138,2018-07-27,641.558,644.118,649.858,635.558,20913.0,600519
139,2018-07-30,644.458,624.768,646.218,620.558,42171.0,600519
140,2018-07-31,625.858,631.998,633.438,624.768,20683.0,600519
141,2018-08-01,636.958,620.498,637.858,619.668,25237.0,600519
142,2018-08-02,621.528,601.398,621.528,593.438,55001.0,600519
143,2018-08-03,600.558,584.548,600.558,581.758,47336.0,600519
144,2018-08-06,582.558,575.238,589.558,567.808,45248.0,600519
145,2018-08-07,577.858,591.838,593.388,567.578,39085.0,600519
146,2018-08-08,592.578,581.778,594.558,577.428,29685.0,600519
147,2018-08-09,576.558,597.438,600.058,575.678,34485.0,600519
148,2018-08-10,597.438,592.738,600.328,589.758,23817.0,600519
149,2018-08-13,588.558,584.778,588.558,572.238,34570.0,600519
150,2018-08-14,584.778,585.688,590.058,579.068,21696.0,600519
151,2018-08-15,585.358,568.358,585.558,566.558,34997.0,600519
152,2018-08-16,557.558,553.998,574.058,545.558,59939.0,600519
153,2018-08-17,563.058,540.418,563.058,535.568,46574.0,600519
154,2018-08-20,538.008,550.348,551.108,522.418,48852.0,600519
155,2018-08-21,552.558,577.048,577.858,552.558,52249.0,600519
156,2018-08-22,576.558,573.258,578.758,568.558,20675.0,600519
157,2018-08-23,577.258,575.768,584.058,570.738,27357.0,600519
158,2018-08-24,574.558,565.858,574.558,562.018,26090.0,600519
159,2018-08-27,567.558,592.858,592.858,567.558,48016.0,600519
160,2018-08-28,598.558,586.558,599.338,584.108,32488.0,600519
161,2018-08-29,587.558,591.408,594.438,584.658,27404.0,600519
162,2018-08-30,593.768,585.958,598.158,584.568,33788.0,600519
163,2018-08-31,581.808,564.748,582.558,562.058,58980.0,600519
164,2018-09-03,557.558,571.768,573.228,556.358,30179.0,600519
165,2018-09-04,572.358,580.598,581.558,567.158,21540.0,600519
166,2018-09-05,580.558,563.348,582.548,562.558,28983.0,600519
